Country|Date_range|Event_url|Event_name|Event_venue_name|Venue_address|Format|Dates|Location|Entry_fees|Estimated_turnout|Categories|Frequency|Organizer|Editions|Timings|Description
UN/LOCODE Advisory Group Meeting||https://10times.com/e1z2-3g14-zhpg|UN/LOCODE Advisory Group Meeting|LA SALLE|LA SALLE6 Rue de l'Artisanat, 01710 Thoiry, FranceFrance|Conference|08 - 09 Nov 2021| LA SALLE, Thoiry,  France| Check Official Website| up to 100 Delegates | Logistics & Transportation|Newly Listed|United Nations Economic Commission for Europe|['Nov 2021', '']| 09:00 AM-06:00 PM |At the meeting of the UN/LOCODE Advisory Group will present and discuss important developments related to UN/LOCODE including the use of UN/LOCODE for the Agreement on Port State Measures (PSMA) by the Food and Agriculture Organization (FAO), for the European Maritime Single Window by the European Maritime Safety Agency (EMSA), and the work of the United Nations Group of Experts on Geographical Names (UNGEGN).
Savoury & Grocery Summit||https://10times.com/webel-grocery-summit|Savoury & Grocery Summit|Virtual|Virtual|Conference|03 - 04 Nov 2021| Hilton Paris Charles de Gaulle Airport, Paris, France| Check Official Website| 220 Delegates 140 Exhibitors | Food & Beverages|Annual|Wabel|['Nov 2021', '+8 more editions']| 08:30 AM - 07:00 PM 09:00 AM - 04:00 PM |"""The Grocery SUMMIT will gather 120 purchasing groups and 150 selected manufacturers.""The Wabel Savoury Grocery Summit will consist of two days to meet potential business partners during pre-matched and pre-scheduled B2B Smart Meetings™ to bring together curated buyers and vetted suppliers from the Savoury Grocery industry.These real one-on-one conversations will last 20 minutes (10 min presentation + 10 min Q&A) and be held in a private meeting. The Wabel Savoury Grocery Summit will consist of two days to meet potential business partners during pre-matched and pre-scheduled B2..continue readingB Smart Meetings™ to bring together curated buyers and vetted suppliers from the Savoury Grocery industry. These real one-on-one conversations will last 20 minutes (10 min presentation + 10 min Q&A) and be held in a private meeting. We come to the summit every year which helps us buy a lot of time compared to the exhibitions we used to attend. In a short period of time, we are able to meet a lot of suppliers. We are very happy to be here, the quality, the people, the staff, everything is excellent at Wabel."
Paris Manga & Sci-Fi Show||https://10times.com/paris-mangasci-fishow|Paris Manga & Sci-Fi Show|Paris Expo Porte de Versailles|Paris Expo Porte de Versailles1 Place de la Porte de Versailles 75015 ParisFrance|Trade Show|06 - 07 Nov 2021| Paris Expo Porte de Versailles, Paris, France| Check Official Website| 5000 - 20,000 Visitors 100 - 500 Exhibitors | Entertainment & Media|Biennial|COB AGENCY|['Nov 2021', '', '+17 more editions']| 09:00 AM-06:00 PM |"""Media and advertising exhibition in Paris.""Paris Manga & Sci-Fi Show exclusively focuses on comics and creative print cartoon varieties. The show ranks high on the popularity count, with a large number of visitors attending the show on a regular basis. Participants are offered the chance to win attractive gifts at the several exciting games and contests that are held during the show. Several topical workshops are also organized here, enhancing the worth of the event further."
Days Of The French Society Of Senology And Mammary Pathology||https://10times.com/days-french-society-senology-and-mammary|Days Of The French Society Of Senology And Mammary Pathology|Palace of Congresses and Exhibitions Nice Acropolis|Palace of Congresses and Exhibitions Nice Acropolis1 Esplanade John Fitzgerald Kennedy 06000 NiceFrance|Conference|10 - 12 Nov 2021| Palace of Congresses and Exhibitions Nice Acropolis, Nice, France| Check Official Website| up to 100 Delegates | Medical & PharmaScience & Research|Newly Listed|NICE CONVENTION AND VISITORS BUREAU OFFICIAL |['Nov 2021', '']| 09:00 AM-06:00 PM |The Days Of The French Society Of Senology And Mammary Pathology intends to develop the knowledge of the mammary gland at the national level in order to advance the diagnosis, prevention and therapeutics of all benign or malignant breast disease. It also aims to develop basic and clinical research, to stimulate work and publications, to organize meetings, to promote teaching and to coordinate the many disciplines concerned.
AEROSPACE Testing||https://10times.com/aerospace-testing|AEROSPACE Testing|google-map|Venue to be announcedToulon,FranceAdd Venue|Trade Show|03 - 04 Nov 2021 | Toulon,   France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Logistics & Transportation|Annual|Aerospace & Security Media LLC|['Nov 2021', '+1 more edition']| 9:00 AM - 5:00 PM |AEROSPACE Testing is the key gathering for manufacturing and inspection professionals to learn about the latest regulations, challenges and technical developments for testing systems and products related to Flight testing, Environmental testing, Climatic testing, Shock and Vibration testing, Structural testing, Avionics testing, Instrumentation testing, Fatigue testing, Test automation, MIMO testing, Wind tunnel testing, Measurement solutions, Pressure measurement, Lightning testing, Gap measurement, Air data testing, Non-destructive, Engine testing, Materials testing and Dynamics measurement.
Global Summit on Electronics & Electrical Engineering||https://10times.com/e1sk-38zx-0rk5|Global Summit on Electronics & Electrical Engineering|google-map|Venue to be announcedMarseille,FranceAdd Venue|Conference|08 - 10 Nov 2021| Marseille,  France| Check Official Website| 100 - 500 Delegates | Electric & Electronics|Newly Listed|TheScientistt |['Nov 2021', '']| 09:00 AM-06:00 PM |We are pleased to announce that the Global Summit on Electronics & Electrical Engineering (GSEEE2021), which will be held on November 08-10, 2021 at Marseille, France is a premiere and one of the highest level international academic conferences in the field of electronics and electrical engineering.The objective of GSEEE2021 is to provide a unique forum for discussion of the latest developments, refresh your knowledge and will offer plenty of networking opportunities, providing you a chance to..continue readingmeet and interact with leading researchers as well as most influential minds in the field of electronics and electrical engineering.  The conference offers a diverse scientific program covers the latest, cutting-edge developments which can change the course of science to benefit the human society. The conference consists of excellent plenary talks, keynote talks, technical sessions and workshops along with industry tech talks. Leading experts get together in this international forum to present their research and share knowledge.The Young Researchers Forum provides a great opportunity for PhD students and young postdocs to meet up in a friendly, informal and international atmosphere to discuss and exchange ideas, to get feedback on their work from leading scientists in the field.We look forward to seeing you at GSEEE2021 and welcoming you to the city of Marseille famous for its rich history, world class monuments. We encourage participants to stay for one or two days longer to enjoy the town and surrounding area offering many places of interest worth visiting.
SATIS-Screen4All||https://10times.com/satis-aubervilliers|SATIS-Screen4All|Les Docks de Paris - Chateauform|Les Docks de Paris - Chateauform87 Avenue des Magasins Généraux, 93300 Aubervilliers, FranceFrance|Trade Show|09 - 10 Nov 2021| Les Docks de Paris - Chateauform, Aubervilliers,  France| Check Official Website| 9000 Visitors 120 Exhibitors | IT & TechnologyEntertainment & Media|Annual|Génération Numérique |['Nov 2021', '', '+3 more editions']| 10:00 AM - 7:00 PM (Business) |"""Innovation at the service of video creation and consumption""SATIS-Screen4All is merging to become the largest nationwide show dedicated to the creation and technological innovation in media, entertainment, and audio-visual communication in France. As main place for discovery and new solutions and products in the areas of image, sound and IT, the event showcases a wealth of tools and services for filming, post-production, broadcasting and publication of content on all screens."
Paris Map Fair||https://10times.com/map-fair|Paris Map Fair|Paris Marriott Opera Ambassador Hotel|Paris Marriott Opera Ambassador Hotel16 Boulevard Haussmann, 75009 ParisFrance|Trade Show|06 Nov 2021| Paris Marriott Opera Ambassador Hotel, Paris, France| Free Ticket For Industry ProfessionalsCheck Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Science & ResearchEducation & Training|Annual|Librairie Loeb-Laroque|['Nov 2021', '', '+6 more editions']| 11:00 AM - 06:00 PM General Hours|Paris Map Fair will feature merchants of scientific instruments that will present objects specifically dedicated to the navy and cartography. Visitors will be able to discover on the show, compasses, astrolabes, sextants or terrestrial and celestial globes. Exhibitors in ancient cartography will present on their side maps including maps, maps of Paris, views, atlases from the sixteenth to the nineteenth century.
International Conference on Relational and Algebraic Methods in Computer Science||https://10times.com/e1zg-5df0-k5s6|International Conference on Relational and Algebraic Methods in Computer Science|international Center of Mathematical Meetings|international Center of Mathematical Meetings163 Avenue de Luminy 13009 MarseilleFrance|Conference|02 - 05 Nov 2021 | international Center of Mathematical Meetings, Marseille, France| Check Official Website| up to 100 Delegates | IT & Technology|Not Available|Computer Science and Systems Laboratory |['Nov 2021', '19th Edition']| 09:00 AM-06:00 PM |Theoretical aspects include semigroups, residuated lattices, semirings, Kleene algebras, relation algebras, quantales and other algebras; their connections with program logics and other logics; their use in the theories of automata, concurrency, formal languages, games, networks and programming languages; the development of algebraic, algorithmic, category-theoretic, coalgebraic and proof-theoretic methods for these theories; their formalisation with theorem provers.
Global Summit on Catalysis, Chemical Engineering and Technology||https://10times.com/e11s-rfhg-3z29|Global Summit on Catalysis, Chemical Engineering and Technology|google-map|Venue to be announcedMarseille,FranceAdd Venue|Conference|08 Nov 2021 | Marseille,  France| Paid Ticket Starts from 669 USD (View Details)| 50 Delegates 10 Exhibitors | Miscellaneous|Annual|TheScientistt |['Nov 2021']| 9:00 AM - 6:00 PM Public Hours|This event is launched with the aims to become an established event, attracting global participants, intent on sharing, exchanging and exploring new avenues of catalysis and chemical engineering -related scientific and commercial developments.A wide-ranging scientific program consisting of plenary lectures, keynote lectures, Invited lectures, parallel sessions, as well as poster sessions for young scientists covering all topics in catalysis and chemical engineering will be scheduled. This conference provides a wonderful opportunity for you to enhance your knowledge about the newest interdisciplinary approaches in catalysis and chemical engineering.
SIDO Lyon - IoT, AI, Robotics & XR||https://10times.com/e14z-zz9p-d1k4|SIDO Lyon - IoT, AI, Robotics & XR|Palais des Congres|Palais des Congres159 St. Antoine West, 9th floor MontrÃ©al (QuÃ©bec) H2Z 1H2, CANADA - See more at: http://congresmtl.com/en/contact-us/#sthash.96bytfk8.dpufParis,France|Conference|09 - 10 Nov 2021| Palais des Congres, Paris, France| Check Official Website| 100 - 500 Delegates | IT & Technology|Quarterly|SIDO Lyon |['Nov 2021', '', '+1 more edition']| 09:00 AM-06:00 PM |
International Meet on Public Health and Healthcare Management||https://10times.com/e1zs-z15s-p52g|International Meet on Public Health and Healthcare Management|Novotel Nice Arénas Aéroport|Novotel Nice Arénas Aéroport455 Prom. des Anglais, 06200 Nice, FranceFrance|Conference|04 - 06 Nov 2021 | Novotel Nice Arénas Aéroport, Nice, France| Check Official Website| up to 100 Delegates | Medical & PharmaWellness, Health & Fitness|Not Available|ALBEDO MEETINGS Top Rated|['Nov 2021']| 09:00 AM-06:00 PM |PUBLICHEALTHMEET goal is to bring together, a multi-disciplinary group of scientists and researchers from all over the world to present and exchange break-through ideas relating to the Healthcare Management. It promotes top level research and to globalize the quality research in general, thus making discussions, presentations more internationally competitive and focusing attention on the recent outstanding achievements in the field of Public Health and Healthcare Management.
Hotel & Restaurant Meetings||https://10times.com/hotel-restaurant-meetings|Hotel & Restaurant Meetings|Palais des Festivals|Palais des Festivals1 Boulevard de la Croisette 06400 CannesFrance|Trade Show|08 - 09 Nov 2021| Palais des Festivals, Cannes, France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Hospitality|Annual|Weyou Group Renowned|['Nov 2021', '', '+3 more editions']| 10:00 PM - 6:00 AM |Hotel & Restaurant Meetings is a business fair designed for hotel and restaurant professionals whose aim is to promote direct face to face meetings between Top-Decision-Makers and exhibitors through business meetings pre-organized and ultra qualified before the event in a relaxed atmosphere.
Humanitarian Studies Conference||https://10times.com/e15z-hk8g-5gz3|Humanitarian Studies Conference|Virtual|Virtual|Conference|03 - 05 Nov 2021| Paris,  France| Check Official Website| 500 - 1000 Delegates | Education & Training|Not Available|ISS |['Nov 2021']| 09:00 AM-06:00 PM |The conference themes are Health and the Environment, Localising Humanitarian Studies, Political Economy and Politics of Humanitarianism, Technology and Innovation, Migration, Displacement and Refugees.
Mare di Moda||https://10times.com/maredimoda|Mare di Moda|Palais des Festivals|Palais des Festivals1 Boulevard de la Croisette 06400 CannesFrance|Trade Show|09 - 11 Nov 2021| Palais des Festivals, Cannes, France| Free & Paid Ticket Exhibit Booth Cost Starts from 450 EUR (View Details)| 3000 Visitors 110 Exhibitors | Apparel & Clothing|Biennial|MAREDIMODA|['Nov 2021', '', '+7 more editions']| 09:00 AM - 06:00 PM (Business) 09:00 AM - 04:00 PM |"""Elastic fabrics and trims show""The MarediModa Fair, which takes place every year in Cannes since 2002, is the most important event for the premiere presentation of the collections of fabrics and accessories for the beachwear, underwear and athleisure sectors. It boasts an international presence of exhibitors and visitors that continues to grow year after year. Also for this reason, it is a fundamental appointment for professionals in terms of contacts, exchanges, business and new business. To keep up with the sudden changes in the market, the MarediModa exhibition in Cannes is constantly evolving. Since 2007, it has offered its guests a space dedicated to garments for third parties in the Euro Med area and in Italy. To offer a partnership not only to fabric suppliers, but also to those involved in the packaging of the finished garment."
Wedding Fairs||https://10times.com/wedding-fair-and-life|Wedding Fairs|Parc Expo de Mulhouse|Parc Expo de Mulhouse120 Rue Lefebvre, 68100 MulhouseFrance|Trade Show|06 - 07 Nov 2021| Parc Expo de Mulhouse, Mulhouse,  France| Paid Ticket Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Apparel & ClothingFashion & Beauty|Bi-annual|YOrganisation|['Nov 2021', '', '+8 more editions']| 10:00 AM - 06:30 PM 10:00 AM - 06:00 PM |Wedding Fair and Life Mulhouse provides attendees with the opportunity to meet with wedding professionals who will provide them with the information regarding everything needed to plan a perfect wedding starting from dresses to photography, cars, shoes, stag parties, invitations, catering, marquees, harpists, rings, candy carts venue decor, singers, hen party ideas, photobooths, flowers, camper vans, celebrants, musicians, hair and make up and much more.
Financial Legal and HR Meeting||https://10times.com/finance-and-rh-meeting|Financial Legal and HR Meeting|Palais des Festivals|Palais des Festivals1 Boulevard de la Croisette 06400 CannesFrance|Conference|07 - 09 Nov 2021| Palais des Festivals,                         Cannes, France| Check Official Website| 100 - 500 Delegates | Banking & Finance|Annual|Weyou Group Renowned|['Nov 2021', '', '+3 more editions']| 9:00 PM - 5:00 AM |Finance and RH Meeting is a business fair dedicated to Finance and Human Resources professionals whose objective is to promote Top Decision Makers and Exhibitors through pre-organized appointments and highly qualified in upstream of the event in a relaxed and warm atmosphere.
The Wedding Fairs Chambery||https://10times.com/les-salons-du-mariage-chambery|The Wedding Fairs Chambery|Savoiexpo|Savoiexpo1725 Avenue du Grand Arietaz, 73000 ChamberyChambéry,France|Trade Show|06 - 07 Nov 2021| Savoiexpo, Chambéry,  France| Check Official Website| 5000 - 20,000 Visitors 100 - 500 Exhibitors | Apparel & ClothingFashion & Beauty|Annual|C M J Publicite Edition|['Nov 2021', '', '+7 more editions']| 09:00 AM-06:00 PM |
International Conference on Control, Automation and Diagnosis||https://10times.com/e12s-xh2x-s4z6|International Conference on Control, Automation and Diagnosis|Polytech Grenoble|Polytech Grenoble14 Place du Conseil National de la Résistance, 38400 Saint-Martin-d'Hères, FranceGrenoble,France|Conference|03 - 05 Nov 2021 | Polytech Grenoble,                         Grenoble, France| Check Official Website| 100 - 500 Delegates | Industrial Engineering|Quarterly|ICCAD'20 |['Nov 2021', '+1 more edition']| 09:00 AM-06:00 PM |
Epoqu Auto||https://10times.com/epoqu-auto-lyon|Epoqu Auto|Eurexpo Lyon|Eurexpo LyonAvenue Louis Blériot 69680 ChassieuLyon,France|Trade Show|05 - 07 Nov 2021 | Eurexpo Lyon, Lyon, France| Check Official Website| 5000 - 20,000 Visitors 100 - 500 Exhibitors | Auto & Automotive|Annual|Amateurs d Automobiles Anciennes|['Nov 2021', '+9 more editions']| 09:00 AM-06:00 PM |"""International trade fair for automotive industry.""Epoqu Auto will feature Merchants collection vehicles, spare parts specialists, craftsmen, sellers miniatures, antique toys, vintage clothing, automakers, collection vehicles of insurers and etc."
Connected Aircraft||https://10times.com/connected-aircraft|Connected Aircraft|google-map|Venue to be announcedLabège,FranceAdd Venue|Conference|03 - 04 Nov 2021 | Labège,   France| Check Official Website| 100 - 500 Delegates | Logistics & TransportationIT & Technology|Annual|Aerospace & Security Media LLC|['Nov 2021', '+1 more edition']| 9:00 AM - 5:00 PM |Connected Aircraft covers all the connectivity systems that airlines use (air-to-ground and nose-to-tail) including IFC, cabin IFEC, AI, M2M, VR, connected EFBs and ETLs, airline e-Enablement processes and strategies, ancillary revenues, IoT, big data analytics, flight tracking, cyber security, application disrupters, connectivity systems for operational efficiency and connectivity for predictive maintenance.
Europe GRI||https://10times.com/gri-europe-summit|Europe GRI|InterContinental Paris - Le Grand|InterContinental Paris - Le Grand2 Rue Scribe, 75009 ParisFrance|Conference|08 - 09 Nov 2021 | InterContinental Paris - Le Grand, Paris, France| Paid Ticket Check Official Website| 9987 Delegates195 Exhibitors | Business ServicesBanking & Finance|Annual|Global Real Estate Institute|['Nov 2021', '23rd Edition', '+9 more editions']| 8:00 AM - 6:00 PM (Business) |Now in it's 23rd year, be sure to secure your participation at Europe’s exclusively senior real estate capital firepower, the platform gives unrivaled access for industry players to source and deploy capital.Participants find the discovery process for sourcing deal flow is most advantageous by welcoming the largest concentration of LP’s developers, asset owners, operators and lenders interested in all European regions and asset classes. Over two days they will engage in a series of informal roundtables where everyone can participate.
HUMANE Autumn Seminar||https://10times.com/humane-autumn-seminar-paris|HUMANE Autumn Seminar|Virtual|Virtual|Conference|04 - 05 Nov 2021| France secondary school, Paris, France| Check Official Website| 100 - 500 Delegates | Education & Training|Annual|HUMANE asbl |['Nov 2021', '+1 more edition']| 09:00 AM-06:00 PM |The theme is Sustaining public confidence in our universities: public affairs, impact and influence . Register early for what promises to be a lively event where all of our members can come together again to network as well as engage with one another around the topical theme of public affairs management.
Mobility Business||https://10times.com/mobility-business|Mobility Business|Paris Expo Porte de Versailles|Paris Expo Porte de Versailles1 Place de la Porte de Versailles 75015 ParisFrance|Trade Show|09 - 10 Nov 2021 | Paris Expo Porte de Versailles, Paris, France| Check Official Website| 5000 - 20,000 Visitors 100 - 500 Exhibitors | IT & Technology|Biennial|EContent Magazine|['Nov 2021', '+3 more editions']| 09:00 AM-06:00 PM |Mobility Business, the Internet of Things, artificial intelligence, predictive maintenance, constant connectivity, and optimized travel are rapidly changing organizations, methods, and needs. It is an event that illustrates a large selection of products like videos, interviews, news and exhibitor cards, mobile solution providers and all decision makers in project mode etc.
Gastronomy Fair||https://10times.com/salonde-gastronomie|Gastronomy Fair|Ainterexpo - Parc des Expositions|Ainterexpo - Parc des Expositions25 Avenue du Marechal Juin, 01000 Bourg-en-BresseFrance|Trade Show|10 - 14 Nov 2021| Ainterexpo - Parc des Expositions, Bourg-en-Bresse,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Food & Beverages|Annual|AINTEREXPO|['Nov 2021', '', '+5 more editions']| 09:00 AM-06:00 PM |"""Fair of Equipment and Supplies for Gastronomy and Shops""Gastronomy Fair is a true gastronomic journey that invites the meeting between the public & professionals of mouth, chefs, artisans, and producers."
Avionics||https://10times.com/avionics-toulouse|Avionics|google-map|Venue to be announcedToulouse,FranceAdd Venue|Trade Show|03 - 04 Nov 2021 | Toulouse,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Electric & ElectronicsIT & Technology|Annual|Aerospace & Security Media LLC|['Nov 2021']| 9:00 AM - 5:00 PM |Avionics is Europe’s Only dedicated exhibition & conference for the International Aviation Electronics & Avionics Community across – commercial and defence sectors, fixed wing and rotorcraft. It is the most cost-efficient opportunity to find new business, meet existing customers and showcase your products in front of a focused targeted audience of decision makers, influencers, buyers and suppliers from airlines, operators, airframers, integrators, prime contractors and avionics manufacturers. The ultimate platform for Avionics.
Brest Wedding Fair||https://10times.com/wedding-fair-and-festival-days-brest|Brest Wedding Fair|Parc des Expositions de la Penfeld|Parc des Expositions de la Penfeld29820 GuilersFrance|Trade Show|06 - 07 Nov 2021| Parc des Expositions de la Penfeld, Guilers,  France| Paid Ticket Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Apparel & ClothingFashion & Beauty|Annual|SPE Organization|['Nov 2021', '', '+7 more editions']| 10:00 AM - 07:00 PM (All) |Brest Wedding Fair, more than sixty professionals from the region will be at your disposal to make the day of your dreams come true, one that will remain etched forever. You can also see three daily parades where wedding dresses, costumes or cocktail dresses will be sublimated by the spotlights.
Martigues Habitat Fair||https://10times.com/e1z0-r2s1-x9sd|Martigues Habitat Fair|La Halle de Martigues|La Halle de MartiguesRond-Point de l'Hôtel de Ville, 13500 MartiguesFrance|Trade Show|05 - 07 Nov 2021| La Halle de Martigues, Martigues,  France| Check Official Website| up to 1000 Visitors 20 - 100 Exhibitors | Food & Beverages|Newly Listed|Deficom|['Nov 2021', '']| 09:00 AM-06:00 PM |
